Department,Items,Link,With name and description,With Image
IceCream,Drumstick® Vanilla Frozen Dairy Dessert Cones,https://www.kroger.com/p/drumstick-vanilla-frozen-dairy-dessert-cones/0007255400154?searchType=default_search,Vanilla (0.9),Vanilla (0.8)
,Kroger® Deluxe Mint Chocolate Chip Ice Cream,https://www.kroger.com/p/kroger-deluxe-mint-chocolate-chip-ice-cream/0001111050711?searchType=default_search,Mint chocolate chip (0.8),Mint chocolate chip (0.9)
,Kroger® Deluxe Triple Brownie Ice Cream Tub,https://www.kroger.com/p/kroger-deluxe-triple-brownie-ice-cream-tub/0001111009909?searchType=default_search,Triple brownie (0.8),Triple Brownie (0.8)
,Simple Truth Organic™ Dairy Free Strawberry Fruit Bars,https://www.kroger.com/p/simple-truth-organic-dairy-free-strawberry-fruit-bars/0001111078985?searchType=default_search,Strawberry (0.95),Strawberry (0.8)
,Dreyer's/Edy's™ Grand Cookie Cobblestone Ice Cream Tub,https://www.kroger.com/p/dreyer-s-edy-s-grand-cookie-cobblestone-ice-cream-tub/0004154877219?searchType=default_search, Grand Cookie Cobblestone (0.95), Cookie cobblestone (0.9)
,Ben & Jerry's Americone Dream® Vanilla Ice Cream,https://www.kroger.com/p/ben-jerry-s-americone-dream-vanilla-ice-cream/0007684010207?searchType=default_search,Americone Dream® Vanilla (0.95), America's dream (vanilla) 0.9
,Blue Bunny® Chocolate Cookie Crumble Mini Ice Cream Bars,https://www.kroger.com/p/blue-bunny-chocolate-cookie-crumble-mini-ice-cream-bars/0007064002352?searchType=default_search,Chocolate Cookie Crumble (0.95), Chocolate cookie crumble (0.9)
,Haagen Dazs® Vanilla Milk Chocolate Almond Ice Cream Bars,https://www.kroger.com/p/haagen-dazs-vanilla-milk-chocolate-almond-ice-cream-bars/0007457003310?searchType=default_search,Vanilla Milk Chocolate Almond (0.95),Vanilla Milk Chocolate Almond 3 Bars (0.9)
,Blue Bell® Dutch Chocolate and Homemade Vanilla Ice Cream Cu,https://www.kroger.com/p/blue-bell-dutch-chocolate-and-homemade-vanilla-ice-cream-cups/0007189962427?searchType=default_search,Dutch Chocolate and Homemade Vanilla (0.95), Dutch chocolate and homemade vanilla ice cream 12 cups (0.9)
,Blue Bell® Gold Rim Assorted Flavors Ice Cream Tub,https://www.kroger.com/p/blue-bell-gold-rim-assorted-flavors-ice-cream-tub/0007189903720?searchType=mktg+attribute," 1. Homemade Vanilla
2. Cookie Two Step®
3. Mint Chocolate Chip
4. Cookies 'n Cream
5. The Great Divide®
6. Dutch Chocolate
(100%)",Image search gave all the flavors of Blue Bell brand
Grocery,Blue berry muffin,https://www.kroger.com/p/kroger-blueberry-mini-muffins-big-deal-/0001111009208?searchType=default_search,Blueberry (0.95),Blueberry (0.9)
,Smuckers Peanut Butter & Strawberry Jam,https://www.kroger.com/p/smucker-s-uncrustables-peanut-butter-strawberry-jam-sandwiches/0005150004818?searchType=default_search,Peanut butter and strawberry jam (0.95),Peanut butter and strawberry jam sandwich (0.9)
,Yoplait Original Low Fat Mountain Blueberry Yogurt Cup,https://www.kroger.com/p/yoplait-original-low-fat-mountain-blueberry-yogurt-cup/0007047000302?searchType=default_search,Mountain blueberry (0.95),Mountain blueberry (0.9)
,Gatorade Thirst Quencher Mini Yellow Lemon Lime Electrolyte,https://www.kroger.com/p/gatorade-thirst-quencher-mini-yellow-lemon-lime-electrolyte-enhanced-sports-drink/0005200012178?searchType=default_search,Lemon Lime (0.95),Lemon Lime (0.9)
,Campbell's® Cooking Sauces Creamy Parmesan Sauce,https://www.kroger.com/p/campbell-s-cooking-sauces-creamy-parmesan-sauce/0005100021908?searchType=default_search,Creamy Parmesan (0.95),Creamy Parmesan (0.95)
,Thomas' Cinnamon Swirl Bread,https://www.kroger.com/p/thomas-cinnamon-swirl-bread/0004812122905?searchType=default_search,Cinnamon Swirl(0.95),Cinnamon (0.95)
Beauty,Burt's Bees Red Dahlia Tinted Lip Balm,https://www.kroger.com/p/burt-s-bees-red-dahlia-tinted-lip-balm/0079285089464?searchType=default_search,Red Dahlia (0.95),Red bees lip balm (0.9)
