GTIN,DESCRIPTION,DEPARTMENT,COMMODITY,ITEM_SUBMISSION_DATE
00041143024508,Sun-Maid® California Sun-Dried Raisins Dried Fruit Snack,Pantry,Snacks,2023-12-29 09:16:00.000
00016000306301,Betty Crocker Sugar Cookie Mix,Pantry,Baking & Cooking,2024-01-23 12:19:00.000
10041196021223,Progresso Black Beans,Pantry,Canned Foods,2024-01-21 09:01:00.000
00034000000074,ICE BREAKERS COOL MINT FLAVORED MINTS PUCK,Candy,Gum & Mints,2024-01-18 08:43:00.000
00041196740745,Progresso Reduced Sodium Savory Chicken & Wild Rice Soup,Pantry,Canned Foods,2023-12-08 08:06:00.000
00041196891089,Progresso Plain Bread Crumbs,Pantry,Spices & Seasonings,2024-01-21 10:00:00.000
00021908407753,Cascadian Farm Organic Sweet & Salty Peanut Pretzel Chewy Granola Bars 5 Count,Pantry,Snacks,2023-12-01 12:46:00.000
00014100096566,"Goldfish Colors Cheddar Cheese Crackers, 30 oz Carton",Pantry,Snacks,2024-01-10 14:24:00.000
10725342260710,Muir Glen Organic Diced Tomatoes,Pantry,Canned Foods,2024-01-18 10:32:00.000
00021500010429,ADOLPH'S  SEASONED TENDERIZER,Pantry,Spices & Seasonings,2023-12-21 06:34:00.000
00037000306566,"Always Ultra Thin Pads with Wings, Size 1, 36",Personal Care,Feminine Care,2024-01-03 07:40:00.000
00037000886587,"Always Discreet Light Incontinence Pads, 30 Count",Personal Care,Incontinence,2023-12-12 13:28:00.000
00041196010138,Progresso Vegetable Classics Tomato Basil Gluten-Free Canned Soup,Pantry,Canned Foods,2024-01-02 11:03:00.000
00310158850007,SENSODYNE PRONAMEL 4.0OZ 12X4.0OZ GENTLE WHITENING,Personal Care,Oral Care,2024-01-22 07:46:00.000
00310158850007,SENSODYNE PRONAMEL 4.0OZ 12X4.0OZ GENTLE WHITENING,Personal Care,Oral Care,2024-01-22 07:46:00.000
00051000024572,"Campbell's Condensed Homestyle Chicken Noodle Soup, 10.5 Ounce Can",Pantry,Canned Foods,2023-12-10 06:21:00.000
00014100048534,"Pepperidge Farm Farmhouse Thin & Crispy Toffee Milk Chocolate Cookies, 6.9 oz. Bag",Pantry,Cookies,2024-01-18 06:10:00.000
00054000476181,SCOTT CMFRT+ DBL RL BATH TISSUE 12 PK 231 FSC MIX SGSNA COC 005460,Cleaning and Household,Paper Products,2023-12-19 09:21:00.000
00037000974949,"Olay Ultra Moisture Body Wash with Shea Butter, 33 FL OZ",Beauty,Bath & Body,2024-01-09 15:15:00.000
00037000974949,"Olay Ultra Moisture Body Wash with Shea Butter, 33 FL OZ",Personal Care,Bath & Body,2024-01-09 15:15:00.000
00072940113225,"Red Gold Petite Diced Tomatoes, 28 oz Can",Pantry,Canned Foods,2023-12-15 08:33:00.000
00037000808220,"Secret Outlast Clear Gel Antiperspirant Deodorant for Women, Completely Clean, 2.6 oz",Personal Care,Deodorants/Antiperspirant,2024-01-17 23:10:00.000
