,stmt_date,stmt_desc,stmt_exp
0,01/02/17,THE HOME DEPOT 0459,9.76
1,01/20/17,THE HOME DEPOT 0475,36.88
2,01/23/17,AMAZING AWARDS,13.03
3,01/26/17,HARBOR FREIGHT TOOLS 1,73.84
4,01/27/17,HARBOR FREIGHT TOOLS 1,3.89
5,02/01/17,THE HOME DEPOT 0475,4.34
6,02/06/17,SAMS CLUB 4732,11.24
7,02/15/17,HARBOR FREIGHT TOOLS 1,4.33
8,03/01/17,THE HOME DEPOT 0459,35.78
9,03/04/17,THE HOME DEPOT 0459,45.87
10,03/11/17,THE HOME DEPOT 0459,4.52
11,03/13/17,THE HOME DEPOT 0459,31.94
12,03/16/17,THE HOME DEPOT 0459,19.59
13,03/21/17,ALLIANCE LUMBER GLENDA,258.93
14,03/22/17,SAMS CLUB 4732,5.49
15,03/23/17,ACE HARDWARE,3.08
16,03/27/17,DOLLAR TREE,14.82
17,03/27/17,WAL-MART 1532,24.48
18,03/30/17,DOLLAR TREE,8.33
19,03/31/17,HARBOR FREIGHT TOOLS 1,14.10
20,04/04/17,BIG LOTS 4634,4.50
21,04/04/17,THE HOME DEPOT 0459,12.19
22,04/08/17,WM SUPERCENTER 1532,13.04
23,04/10/17,THE HOME DEPOT 0459,113.21
24,04/11/17,PAULDEN AREA ACE HARDW,6.81
25,04/12/17,SAMS CLUB 4732,13.34
26,04/14/17,FARMERS INS BILLING,481.00
27,04/19/17,THE HOME DEPOT 0446 PRESCOTT,69.95
28,04/26/17,ALLIANCE LUMBER GLENDA,83.87
29,04/26/17,SAMS CLUB 4732,5.49
30,04/26/17,THE HOME DEPOT 0459,83.05
31,04/27/17,DOLLAR TREE,10.25
32,04/27/17,TOTAL WINE AND MORE 10,28.61
33,04/29/17,SAMSCLUB 4732,10.98
34,05/01/17,BIG LOTS 4634,4.10
35,05/01/17,BIG LOTS 4634,12.81
36,05/06/17,THE HOME DEPOT 0452,28.93
37,05/13/17,GOODWILL CENTRAL AZ 61,5.00
38,05/15/17,HARBOR FREIGHT TOOLS 1,16.59
39,05/15/17,THE HOME DEPOT 0459,10.89
40,05/15/17,WM SUPERCENTER 1532,14.89
41,05/18/17,DOLLAR TREE,2.18
42,05/18/17,NOWILY.COM,1.00
43,05/20/17,COSTCO WHSE 0674,5.06
44,05/23/17,NOWILY.COM,39.99
45,06/08/17,BIG LOTS 4634,10.30
46,06/29/17,BIG LOTS 4634,8.51
47,06/30/17,BIG LOTS 4634,5.89
48,07/04/17,DOLLAR TREE,8.60
49,07/05/17,THE HOME DEPOT 0452,50.02
50,07/06/17,ALLIANCE LUMBER GLENDA,240.28
51,07/06/17,HARBOR FREIGHT TOOLS 1,10.85
52,07/07/17,COSTCO WHSE 0674,67.35
53,07/10/17,PAULDEN AREA ACE HARDW,15.28
54,07/13/17,THE HOME DEPOT 0459,311.07
55,07/14/17,THE HOME DEPOT 0405,40.72
56,07/14/17,THE HOME DEPOT 0405,162.71
57,07/15/17,5010 ALLIED BLDG PROD,107.27
58,07/17/17,THE HOME DEPOT 0452,12.86
59,07/19/17,ACE HARDWARE,21.59
60,07/20/17,MEDIABINN.COM,1.00
61,07/20/17,THE HOME DEPOT 0459,6.52
62,07/20/17,THE HOME DEPOT 0459,50.06
63,07/25/17,MEDIABINN.COM,1.00
64,07/28/17,LOWES 01157,86.42
65,07/28/17,PRESCOTT DIRT LLC,23.49
66,07/31/17,BIG LOTS 4634,10.51
67,08/01/17,PRESCOTT DIRT LLC,35.46
68,08/02/17,THE HOME DEPOT 0452,150.00
69,08/07/17,ACE HARDWARE,25.65
70,08/07/17,SKRAbeBooks.co 434KPP,13.97
71,08/07/17,SKRAbeBooks.co 434KPQ,13.82
72,08/08/17,COSTCO WHSE 0674,18.01
73,08/08/17,THE HOME DEPOT 0475,31.16
74,08/09/17,THE HOME DEPOT 0475,8.67
75,08/09/17,THE HOME DEPOT 0475,9.80
76,08/11/17,THE HOME DEPOT 0475,-5.00
77,08/11/17,THE HOME DEPOT 0475,35.39
78,08/12/17,GOODWILL CENTRAL AZ 09,4.00
79,08/12/17,GOODWILL CENTRAL AZ 10,7.00
80,08/14/17,SAMS CLUB 4732,33.12
81,08/14/17,SAMS CLUB 4732,519.95
82,08/14/17,SAMS CLUB 6608,172.45
83,08/14/17,THE HOME DEPOT 0459,36.86
84,08/16/17,PAULDEN AREA ACE HARDW,2.07
85,08/16/17,PRESCOTT DIRT LLC,46.97
86,08/17/17,THE HOME DEPOT 0452,103.32
87,08/18/17,PRESCOTT DIRT LLC,28.09
88,08/19/17,THE HOME DEPOT 0452,117.50
89,08/22/17,LOWES 01157,69.56
90,08/22/17,PRESCOTT DIRT LLC,35.92
91,08/25/17,MEDIABINN.COM,1.00
92,08/25/17,WAGNER TOOLS INC,25.00
93,08/28/17,BIG LOTS 4634,4.15
94,08/28/17,THE HOME DEPOT 0459,26.18
95,08/30/17,ACE HARDWARE,5.56
96,08/30/17,COSTCO WHSE 0674,8.19
97,08/30/17,THE HOME DEPOT 0459,26.18
98,08/30/17,THE HOME DEPOT 0459,-26.18
99,08/31/17,DOLLAR TREE,6.15
100,08/31/17,HARBOR FREIGHT TOOLS 1,11.60
101,09/04/17,BIG LOTS 4634,15.89
102,09/04/17,THE HOME DEPOT 0459,46.27
103,09/09/17,THE HOME DEPOT 0464,17.32
104,09/11/17,BIG LOTS 4634,4.31
105,09/11/17,THE HOME DEPOT 0459,37.06
106,09/15/17,THE HOME DEPOT 0464,-2.90
107,09/15/17,THE HOME DEPOT 0464,6.66
108,09/15/17,THE HOME DEPOT 0464,32.56
109,09/16/17,GOODWILL CENTRAL AZ 61,9.00
110,09/21/17,DOLLAR TREE,10.38
111,09/21/17,WAGNER TOOLS INC,135.82
112,09/22/17,HARBOR FREIGHT TOOLS 1,43.43
113,09/23/17,GOODWILL CENTRAL AZ 09,11.99
114,09/25/17,MEDIABINN.COM,1.00
115,09/26/17,PRESCOTT DIRT LLC,46.05
116,09/29/17,LOWES 01157,143.85
117,10/03/17,BIG LOTS 4634,32.80
118,10/11/17,THE HOME DEPOT 0459,44.17
119,10/16/17,FARMERS INS BILLING,519.00
120,10/16/17,FARMERS INS BILLING,611.40
121,10/20/17,FARMERS INS BILLING,384.04
122,10/20/17,FARMERS INS BILLING,516.66
123,10/20/17,LOWES 01157,-15.11
124,10/20/17,LOWES 01157,45.49
125,10/21/17,ALLIANCE LUMBER GLENDA,98.28
126,10/21/17,SAMS CLUB 6608,19.05
127,10/23/17,COSTCO WHSE 0674,10.15
128,10/23/17,SAMSCLUB 4732,27.78
129,10/25/17,A G TURF EQUIPMENT IN,250.82
130,10/25/17,THE HOME DEPOT 0459,57.31
131,10/28/17,5010 ALLIED BLDG PROD,364.28
132,10/28/17,PRESCOTT DIRT LLC,46.97
133,11/04/17,COSTCO WHSE 0674,17.59
134,11/04/17,HARBOR FREIGHT TOOLS 1,13.12
135,11/06/17,THE HOME DEPOT 0459,47.70
136,11/06/17,WM SUPERCENTER 1532,6.38
137,11/07/17,5010 ALLIED BLDG PROD,364.28
138,11/11/17,HARBOR FREIGHT TOOLS 1,9.55
